Item,Description,Category,Price (GBP),Source
Motherboard,Micro-ATX (Compatible with Celeron/Athlon),Core Components,46.99,Amazon
CPU,Intel Celeron / AMD Athlon (Budget version),Core Components,48.85,Amazon
RAM,8GB DDR4 DIMM (Desktop 288-pin),Memory,18.99,Amazon
SSD Storage 1,1TB NVMe SSD (Main OS/Datasets),Storage,34.99,Amazon
SSD Storage 2,NVMe or SATA SSD (Secondary/Cache),Storage,34.99,Amazon
PCIe Adapter,x4 NVMe to PCIe Adapter,Accessories,8.99,Amazon
Fiberglass Wire,Communication/Transfer Interface,Connectivity,7.21,Amazon
Standoff Kit,260 Pcs M3 Nylon Hex Spacers/Screws,Mounting,6.99,Amazon
Cable Ties,Wire Management Clips/Ties,Organization,5.94,Amazon
Open-Air Case,Stackable Frame for Node 4/Node 3,Chassis,24.66,Amazon
PSU,Corsair CX750 80+ Bronze 750W,Power Supply,60.05,Amazon
TOTAL,,Total Cost,298.65,
